Date-Time,"S-E-AHU-2 Control Temperature (No Units)"
2024-12-30 14:35:07,75
2024-12-30 14:40:07,74
2024-12-30 14:45:07,72.5
2024-12-30 14:50:07,72
2024-12-30 14:55:07,74
2024-12-30 15:00:07,75
2024-12-30 15:05:07,73
2024-12-30 15:10:07,72
2024-12-30 15:15:07,73
2024-12-30 15:20:07,75
2024-12-30 15:25:07,74
2024-12-30 15:30:07,72.5
2024-12-30 15:35:07,72
2024-12-30 15:40:07,74
2024-12-30 15:45:07,74.5
2024-12-30 15:50:07,73
2024-12-30 15:55:07,72
2024-12-30 16:00:07,73
2024-12-30 16:05:07,75
2024-12-30 16:10:07,73.5
2024-12-30 16:15:07,72
2024-12-30 16:20:07,72
2024-12-30 16:25:07,74.5
2024-12-30 16:30:07,75
2024-12-30 16:35:07,73
2024-12-30 16:40:07,72
2024-12-30 16:45:07,73
2024-12-30 16:50:07,75
2024-12-30 16:55:07,74
2024-12-30 17:00:07,72
2024-12-30 17:05:07,72
2024-12-30 17:10:07,74
2024-12-30 17:15:07,75
2024-12-30 17:20:07,73
2024-12-30 17:25:07,72
2024-12-30 17:30:07,72.5
2024-12-30 17:35:07,75
2024-12-30 17:40:07,74.5
2024-12-30 17:45:07,72.5
2024-12-30 17:50:07,71.5
2024-12-30 17:55:07,73.5
2024-12-30 18:00:07,75
2024-12-30 18:05:07,73
2024-12-30 18:10:07,72
2024-12-30 18:15:07,72.5
2024-12-30 18:20:07,74.5
2024-12-30 18:25:07,74.5
2024-12-30 18:30:07,72.5
2024-12-30 18:35:07,71.5
2024-12-30 18:40:07,73
2024-12-30 18:45:07,75.5
2024-12-30 18:50:07,73.5
2024-12-30 18:55:07,72
2024-12-30 19:00:07,72
2024-12-30 19:05:07,74.5
2024-12-30 19:10:07,74.5
2024-12-30 19:15:07,72.5
2024-12-30 19:20:07,71.5
2024-12-30 19:25:07,73.5
2024-12-30 19:30:07,75
2024-12-30 19:35:07,73.5
2024-12-30 19:40:07,72
2024-12-30 19:45:07,72
2024-12-30 19:50:07,74.5
2024-12-30 19:55:07,75
2024-12-30 20:00:07,72.5
2024-12-30 20:05:07,71.5
2024-12-30 20:10:07,73
2024-12-30 20:15:07,75
2024-12-30 20:20:07,73.5
2024-12-30 20:25:07,72
2024-12-30 20:30:07,72
2024-12-30 20:35:07,74
2024-12-30 20:40:07,75
2024-12-30 20:45:07,73
2024-12-30 20:50:07,71.5
2024-12-30 20:55:07,73
2024-12-30 21:00:07,74.5
2024-12-30 21:05:07,74
2024-12-30 21:10:07,72
2024-12-30 21:15:07,72
2024-12-30 21:20:07,74
2024-12-30 21:25:07,75
2024-12-30 21:30:07,72.5
2024-12-30 21:35:07,71.5
2024-12-30 21:40:07,73
2024-12-30 21:45:07,75
2024-12-30 21:50:07,73.5
2024-12-30 21:55:07,72
2024-12-30 22:00:07,72
2024-12-30 22:05:07,74
2024-12-30 22:10:07,75
2024-12-30 22:15:07,72.5
2024-12-30 22:20:07,71.5
2024-12-30 22:25:07,73
2024-12-30 22:30:07,74.5
2024-12-30 22:35:07,74
2024-12-30 22:40:07,72
2024-12-30 22:45:07,72
2024-12-30 22:50:07,73.5
2024-12-30 22:55:07,75
2024-12-30 23:00:07,73
2024-12-30 23:05:07,71.5
2024-12-30 23:10:07,72.5
2024-12-30 23:15:07,74
2024-12-30 23:20:07,75
2024-12-30 23:25:07,72.5
2024-12-30 23:30:07,71.5
2024-12-30 23:35:07,73
2024-12-30 23:40:07,74.5
2024-12-30 23:45:07,74.5
2024-12-30 23:50:07,72
2024-12-30 23:55:07,71.5
2024-12-31 00:00:07,73.5
2024-12-31 00:05:07,74.5
2024-12-31 00:10:07,74
2024-12-31 00:15:07,72
2024-12-31 00:20:07,72
2024-12-31 00:25:07,74
2024-12-31 00:30:07,75
2024-12-31 00:35:07,73
2024-12-31 00:40:07,71.5
2024-12-31 00:45:07,72.5
2024-12-31 00:50:07,74
2024-12-31 00:55:07,75
2024-12-31 01:00:07,72.5
2024-12-31 01:05:07,71.5
2024-12-31 01:10:07,73
2024-12-31 01:15:07,74.5
2024-12-31 01:20:07,74.5
2024-12-31 01:25:07,72
2024-12-31 01:30:07,71.5
2024-12-31 01:35:07,73.5
2024-12-31 01:40:07,74.5
2024-12-31 01:45:07,74
2024-12-31 01:50:07,72
2024-12-31 01:55:07,72
2024-12-31 02:00:07,73.5
2024-12-31 02:05:07,74.5
2024-12-31 02:10:07,74
2024-12-31 02:15:07,71.5
2024-12-31 02:20:07,72
2024-12-31 02:25:07,73.5
2024-12-31 02:30:07,74.5
2024-12-31 02:35:07,73.5
2024-12-31 02:40:07,71.5
2024-12-31 02:45:07,72
2024-12-31 02:50:07,73.5
2024-12-31 02:55:07,75
2024-12-31 03:00:07,73
2024-12-31 03:05:07,71.5
2024-12-31 03:10:07,72.5
2024-12-31 03:15:07,74
2024-12-31 03:20:07,75
2024-12-31 03:25:07,73
2024-12-31 03:30:07,71
2024-12-31 03:35:07,72.5
2024-12-31 03:40:07,74
2024-12-31 03:45:07,75
2024-12-31 03:50:07,72.5
2024-12-31 03:55:07,71
2024-12-31 04:00:07,72.5
2024-12-31 04:05:07,74
2024-12-31 04:10:07,75
2024-12-31 04:15:07,72.5
2024-12-31 04:20:07,71
2024-12-31 04:25:07,72.5
2024-12-31 04:30:07,74
2024-12-31 04:35:07,75
2024-12-31 04:40:07,73
2024-12-31 04:45:07,71
2024-12-31 04:50:07,72.5
2024-12-31 04:55:07,74
2024-12-31 05:00:07,75
2024-12-31 05:05:07,73
2024-12-31 05:10:07,71
2024-12-31 05:15:07,72.5
2024-12-31 05:20:07,74
2024-12-31 05:25:07,75
2024-12-31 05:30:07,73.5
2024-12-31 05:35:07,71.5
2024-12-31 05:40:07,72
2024-12-31 05:45:07,73.5
2024-12-31 05:50:07,74.5
2024-12-31 05:55:07,74
2024-12-31 06:00:07,71.5
2024-12-31 06:05:07,72
2024-12-31 06:10:07,73.5
2024-12-31 06:15:07,74.5
2024-12-31 06:20:07,74
2024-12-31 06:25:07,72
2024-12-31 06:30:07,71.5
2024-12-31 06:35:07,73.5
2024-12-31 06:40:07,74.5
2024-12-31 06:45:07,74.5
2024-12-31 06:50:07,72
2024-12-31 06:55:07,71.5
2024-12-31 07:00:07,73.5
2024-12-31 07:05:07,74.5
2024-12-31 07:10:07,74.5
2024-12-31 07:15:07,72
2024-12-31 07:20:07,71.5
2024-12-31 07:25:07,73.5
2024-12-31 07:30:07,74.5
2024-12-31 07:35:07,74.5
2024-12-31 07:40:07,72
2024-12-31 07:45:07,71.5
2024-12-31 07:50:07,73
2024-12-31 07:55:07,74
2024-12-31 08:00:07,75
2024-12-31 08:05:07,73
2024-12-31 08:10:07,71
2024-12-31 08:15:07,72.5
2024-12-31 08:20:07,74
2024-12-31 08:25:07,74.5
2024-12-31 08:30:07,72
2024-12-31 08:35:07,71.5
2024-12-31 08:40:07,73
2024-12-31 08:45:07,74.5
2024-12-31 08:50:07,75
2024-12-31 08:55:07,72.5
2024-12-31 09:00:07,71.5
2024-12-31 09:05:07,73
2024-12-31 09:10:07,74.5
2024-12-31 09:15:07,74
2024-12-31 09:20:07,72
2024-12-31 09:25:07,72
2024-12-31 09:30:07,74
2024-12-31 09:35:07,75
2024-12-31 09:40:07,73
2024-12-31 09:45:07,71.5
2024-12-31 09:50:07,73
2024-12-31 09:55:07,74.5
2024-12-31 10:00:07,74
2024-12-31 10:05:07,72
2024-12-31 10:10:07,72
2024-12-31 10:15:07,73.5
2024-12-31 10:20:07,75
2024-12-31 10:25:07,73
2024-12-31 10:30:07,71.5
2024-12-31 10:35:07,72.5
2024-12-31 10:40:07,74
2024-12-31 10:45:07,75
2024-12-31 10:50:07,72.5
2024-12-31 10:55:07,71.5
2024-12-31 11:00:07,73
2024-12-31 11:05:07,74.5
2024-12-31 11:10:07,74
2024-12-31 11:15:07,72
2024-12-31 11:20:07,72
2024-12-31 11:25:07,73.5
2024-12-31 11:30:07,75
2024-12-31 11:35:07,73.5
2024-12-31 11:40:07,72
2024-12-31 11:45:07,72.5

